house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,district_jp,kana
HC,2013,店橋世津子,Gunma,SMD,共産党,5,JCP,0,0,No experience,1,Female,51,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,1,1,0,群馬選挙区,タナハシ セツコ
HC,2013,森本真治,Hiroshima,MMD,民主党,16,DPJ,1,0,No experience,0,Male,40,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,2,1,1,0,広島選挙区,モリモト シンジ
HC,2013,日高順子,Hiroshima,MMD,幸福実現党,99,Other,0,0,No experience,1,Female,50,50-59,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,2,0,0,0,広島選挙区,ヒダカ ジュンコ
HC,2013,灰岡香奈,Hiroshima,MMD,日本維新の会,35,JIP,0,0,No experience,1,Female,30,Under_40,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,2,1,1,0,広島選挙区,ハイオカ カナ
HC,2013,佐藤公治,Hiroshima,MMD,生活の党,36,PLP,0,6,"Currently in office, 3+ terms",0,Male,53,50-59,0,Born outside district,2,Private university,3,Cabinet minister,1,0,0,0,0,0,0,1,2,0,0,0,広島選挙区,サトウ コウジ
HC,2013,溝手顕正,Hiroshima,MMD,自民党,1,LDP,1,6,"Currently in office, 3+ terms",0,Male,70,Over_70,1,Born inside district,3,University of Tokyo,0,None,0,0,0,0,0,0,0,0,2,0,0,1,広島選挙区,ミゾテ ケンセイ
HC,2013,皆川恵史,Hiroshima,MMD,共産党,5,JCP,0,0,No experience,0,Male,69,60-69,0,Born outside district,1,Local public university,0,None,1,0,0,0,0,0,0,0,2,1,1,0,広島選挙区,ミナガワ ケイシ
HC,2013,植松恵美子,Kagawa,SMD,無所属,10,Independent,0,2,"Currently in office, 1 term",1,Female,45,40-49,1,Born inside district,1,Local public university,0,None,0,1,0,0,0,0,0,0,1,0,0,0,香川選挙区,ウエマツ エミコ
HC,2013,田辺健一,Kagawa,SMD,共産党,5,JCP,0,0,No experience,0,Male,32,Under_40,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,香川選挙区,タナベ ケンイチ
HC,2013,中西利恵,Kagawa,SMD,幸福実現党,99,Other,0,0,No experience,1,Female,50,50-59,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,0,1,0,0,0,香川選挙区,ナカニシ リエ
HC,2013,三宅伸吾,Kagawa,SMD,自民党,1,LDP,1,0,No experience,0,Male,51,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,香川選挙区,ミヤケ シンゴ
HC,2013,武内則男,Kochi,SMD,民主党,16,DPJ,0,2,"Currently in office, 1 term",0,Male,54,50-59,1,Born inside district,0,High school,0,None,0,0,0,0,1,0,0,0,1,1,1,0,高知選挙区,タケウチ ノリオ
HC,2013,高野光二郎,Kochi,SMD,自民党,1,LDP,1,0,No experience,0,Male,38,Under_40,1,Born inside district,2,Private university,0,None,0,1,0,0,0,1,0,1,1,0,1,0,高知選挙区,タカノ コウジロウ
HC,2013,浜川百合子,Kochi,SMD,共産党,5,JCP,0,0,No experience,1,Female,33,Under_40,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,高知選挙区,ハマカワ ユリコ
HC,2013,橋詰毅,Kochi,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,50,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,高知選挙区,ハシヅメ ツヨシ
HC,2013,中島徹,Saga,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,39,Under_40,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,佐賀選挙区,ナカシマ トオル
HC,2013,山下雄平,Saga,SMD,自民党,1,LDP,1,0,No experience,0,Male,33,Under_40,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,佐賀選挙区,ヤマシタ ユウヘイ
HC,2013,青木一功,Saga,SMD,民主党,16,DPJ,0,0,No experience,0,Male,37,Under_40,1,Born inside district,0,High school,0,None,0,1,0,0,0,0,0,1,1,0,0,0,佐賀選挙区,アオキ カズノリ
HC,2013,上村泰稔,Saga,SMD,共産党,5,JCP,0,0,No experience,0,Male,48,40-49,0,Born outside district,0,High school,0,None,0,0,0,0,0,0,0,0,1,0,0,0,佐賀選挙区,カミムラ ヤストシ
HC,2013,古川俊治,Saitama,MMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,50,50-59,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,フルカワ トシハル
HC,2013,川上康正,Saitama,MMD,社民党,2,SDP,0,0,No experience,0,Male,48,40-49,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,1,3,0,0,0,埼玉選挙区,カワカミ ヤスマサ
HC,2013,谷井美穂,Saitama,MMD,幸福実現党,99,Other,0,0,No experience,1,Female,50,50-59,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,タニイ ミホ
HC,2013,行田邦子,Saitama,MMD,みんなの党,99,Other,1,2,"Currently in office, 1 term",1,Female,47,40-49,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,コウダ クニコ
HC,2013,伊藤岳,Saitama,MMD,共産党,5,JCP,0,0,No experience,0,Male,53,50-59,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,イトウ ガク
HC,2013,山根隆治,Saitama,MMD,民主党,16,DPJ,0,4,"Currently in office, 2 terms",0,Male,65,60-69,0,Born outside district,0,High school,0,None,0,0,0,0,0,1,0,1,3,1,1,0,埼玉選挙区,ヤマネ リュウジ
HC,2013,宮永照彦,Saitama,MMD,諸派,99,Other,0,0,No experience,0,Male,56,50-59,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,ミヤナガ テルヒコ
HC,2013,矢倉克夫,Saitama,MMD,公明党,3,Komeito,1,0,No experience,0,Male,38,Under_40,0,Born outside district,3,University of Tokyo,0,None,0,0,0,0,0,0,0,0,3,0,0,0,埼玉選挙区,ヤクラ カツオ
HC,2013,深尾浩紹,Mie,SMD,日本維新の会,35,JIP,0,0,No experience,0,Male,50,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,フカオ ヒロツグ
HC,2013,吉川有美,Mie,SMD,自民党,1,LDP,1,0,No experience,1,Female,39,Under_40,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,ヨシカワ ユウミ
HC,2013,大津伸太郎,Mie,SMD,無所属,10,Independent,0,0,No experience,0,Male,48,40-49,0,Born outside district,1,Local public university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,オオツ シンタロウ
HC,2013,高橋千秋,Mie,SMD,民主党,16,DPJ,0,6,"Currently in office, 3+ terms",0,Male,56,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,タカハシ チアキ
HC,2013,小川俊介,Mie,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,41,40-49,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,オガワ シュンスケ
HC,2013,中川民英,Mie,SMD,共産党,5,JCP,0,0,No experience,0,Male,45,40-49,1,Born inside district,1,Local public university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,三重選挙区,ナカガワ タミヒデ
HC,2013,城取良太,Yamagata,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,36,Under_40,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,山形選挙区,シロトリ リョウタ
HC,2013,大沼瑞穂,Yamagata,SMD,自民党,1,LDP,1,0,No experience,1,Female,34,Under_40,0,Born outside district,2,Private university,1,Local-level elected politician,1,0,0,0,0,0,0,0,1,0,0,0,山形選挙区,オオヌマ ミズホ
HC,2013,舟山康江,Yamagata,SMD,みどりの風,99,Other,0,2,"Currently in office, 1 term",1,Female,47,40-49,0,Born outside district,1,Local public university,0,None,0,1,0,1,0,0,0,0,1,0,0,0,山形選挙区,フナヤマ ヤスエ
HC,2013,太田俊男,Yamagata,SMD,共産党,5,JCP,0,0,No experience,0,Male,59,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,山形選挙区,オオタ トシオ
HC,2013,林芳正,Yamaguchi,SMD,自民党,1,LDP,1,6,"Currently in office, 3+ terms",0,Male,52,50-59,1,Born inside district,3,University of Tokyo,3,Cabinet minister,1,0,0,0,0,0,0,0,1,0,0,0,山口選挙区,ハヤシ ヨシマサ
HC,2013,河井美和子,Yamaguchi,SMD,幸福実現党,99,Other,0,0,No experience,1,Female,50,50-59,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,山口選挙区,カワイ ミワコ
HC,2013,藤井直子,Yamaguchi,SMD,共産党,5,JCP,0,0,No experience,1,Female,61,60-69,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,1,1,0,山口選挙区,フジイ ナオコ
HC,2013,森屋宏,Yamanashi,SMD,自民党,1,LDP,1,0,No experience,0,Male,56,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,1,0,0,1,0,1,0,山梨選挙区,モリヤ ヒロシ
HC,2013,米長晴信,Yamanashi,SMD,みんなの党,99,Other,0,2,"Currently in office, 1 term",0,Male,47,40-49,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,山梨選挙区,ヨネナガ ハルノブ
HC,2013,田辺丈太郎,Yamanashi,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,32,Under_40,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,山梨選挙区,タナベ ジョウタロウ
HC,2013,遠藤昭子,Yamanashi,SMD,共産党,5,JCP,0,0,No experience,1,Female,61,60-69,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,山梨選挙区,エンドウ アキコ
HC,2013,青木茂樹,Yamanashi,SMD,無所属,10,Independent,0,0,No experience,0,Male,44,40-49,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,山梨選挙区,アオキ シゲキ
HC,2013,坂口岳洋,Yamanashi,SMD,民主党,16,DPJ,0,1,"Formerly in office, 1 term",0,Male,42,40-49,0,Born outside district,2,Private university,0,None,0,1,0,0,0,0,0,0,1,0,0,0,山梨選挙区,サカグチ タケヒロ
